,Store,Product Name,Product Number,Currency,Price,Brand Name,Product URL,Product Picture URL
37,DM,"CC Creme Skin Tint Deep, 26 ml",5057566628686,Eur,"6,25 ",REVOLUTION MAN,https://www.dm.de/revolution-man-cc-creme-skin-tint-deep-p5057566628686.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451318/products/pim/5057566628686-3987738/revolution-man-cc-creme-skin-tint-deep"
38,DM,"Mütze mit Bio-Schurwolle, grau, Gr. 54/55, 1 St",4066447425499,Eur,"9,45 ",ALANA,https://www.dm.de/alana-muetze-mit-bio-schurwolle-grau-gr-54-55-p4066447425499.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716448449/products/pim/HW23A01917_vorne/alana-muetze-mit-bio-schurwolle-grau-gr-54-55"
39,DM,"Concealer Stick Deep, 3,2 g",5057566628761,Eur,"4,95 ",REVOLUTION MAN,https://www.dm.de/revolution-man-concealer-stick-deep-p5057566628761.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1699451316/products/pim/5057566628761-3987754/revolution-man-concealer-stick-deep"
40,DM,"Strumpfhose mit Dino-Motiv, grün, Gr. 62/68, 1 St",4066447644395,Eur,"3,90 ",ALANA,https://www.dm.de/alana-strumpfhose-mit-dino-motiv-gruen-gr-62-68-p4066447644395.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716791703/products/pim/FS24A00767_vorne/alana-strumpfhose-mit-dino-motiv-gruen-gr-62-68"
41,DM,"Strickmütze mit Bommel und Fuchs-Motiv, grün,..., 1 St",4066447494761,Eur,"3,95 ",PUSBLU,https://www.dm.de/pusblu-strickmuetze-mit-bommel-und-fuchs-motiv-gruen-gr-44-45-p4066447494761.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716449567/products/pim/HW23A01021_vorne/pusblu-strickmuetze-mit-bommel-und-fuchs-motiv-gruen-gr-44-45"
42,DM,"Handschuhe Pro Climate mit Regenbogen-Muster, rosa, 1 St",4066447426403,Eur,"2,95 ",ALANA,https://www.dm.de/alana-handschuhe-pro-climate-mit-regenbogen-muster-rosa-p4066447426403.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716448446/products/pim/HW23A00096_vorne/alana-handschuhe-pro-climate-mit-regenbogen-muster-rosa"
43,DM,"Mütze in Ripp-Struktur, braun, Gr. 54/55, 1 St",4066447427653,Eur,"3,95 ",ALANA,https://www.dm.de/alana-muetze-in-ripp-struktur-braun-gr-54-55-p4066447427653.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716449550/products/pim/HW23A01957_vorne/alana-muetze-in-ripp-struktur-braun-gr-54-55"
44,DM,"Handschuhe Pro Climate mit Dino-Muster, grün, 1 St",4066447426519,Eur,"2,95 ",ALANA,https://www.dm.de/alana-handschuhe-pro-climate-mit-dino-muster-gruen-p4066447426519.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716448446/products/pim/HW23A00093_vorne/alana-handschuhe-pro-climate-mit-dino-muster-gruen"
45,DM,"Mütze mit Bommeln, braun, Gr. 50/51, 1 St",4066447487299,Eur,"3,95 ",PUSBLU,https://www.dm.de/pusblu-muetze-mit-bommeln-braun-gr-50-51-p4066447487299.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716449566/products/pim/HW23A02035_vorne/pusblu-muetze-mit-bommeln-braun-gr-50-51"
46,DM,"Handschuhe mit Schleife, braun, Gr. 1, 1 St",4066447487909,Eur,"3,95 ",PUSBLU,https://www.dm.de/pusblu-handschuhe-mit-schleife-braun-gr-1-p4066447487909.html,"https://media.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1716449566/products/pim/HW23A02053_vorne/pusblu-handschuhe-mit-schleife-braun-gr-1"
